,rank,title,description,boomkat_url,img_url,curator,year,type
0,1,"Rabit

            —
            what dreams may come",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,x_o,2022,eoy
1,2,"TDJ

            —
            TDJ123",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,x_o,2022,eoy
2,3,"Dove

            —
            Atarashi Karada",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,x_o,2022,eoy
3,4,"Malibu

              —
              Palaces of Pity
            
              (UNO NYC)","The eagerly-awaited sequel to Malibu's ""One Life"", ""Palaces of Pity"" is a euphoric ambient (trance?) elegy to calm, sublimating delayed guitars and cello into balearic zoomer-bient bliss sequences that remind us of Orbital, Burial, Enya.

'One Life' was an all-too-brief album that summarized a spectrum of moods, refining the slow crawl of nostalgic ambience... more",/products/palaces-of-pity,https://assets.boomkat.com/spree/products/850218/product/Malibu_distribution_preview_TIP!.jpg,x_o,2022,eoy
4,5,"GIL feat. Andrewism

            —
            make hay where the sun shines",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,x_o,2022,eoy
5,6,"Varg2™

            —
            WITHOUT WAVES : 消える (feat. Golin)",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,x_o,2022,eoy
6,7,"Isabella Lovestory

            —
            Amor Hardcore",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,x_o,2022,eoy
7,8,"Animistic Beliefs

            —
            Merdaka",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,x_o,2022,eoy
8,9,"DJ Narciso & Endgame

              —
              NXE
            
              (SVBKVLT)","Príncipe's DJ Narciso and Bala Club co-founder Endgame team up for a chilly, introspective airlock club excursion, that crosses DMZ-wave darkstep with aerated kuduro futurism and CRT-fukt SVBKLT wonk.

'NXE' was assembled over the course of a year, developed from Narciso and Endgame's desire to not only rep the dancefloor cultures of their respective... more",/products/nxe,https://assets.boomkat.com/spree/products/789715/product/5056321667113_T5_Image.jpg,x_o,2022,eoy
9,10,"Headless

            —
            Leech",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,x_o,2022,eoy
