,rank,title,description,boomkat_url,img_url,curator,year,type
0,1,"Amhain

            —
            BC/OCT/22 (https://amhain.bandcamp.com/album/bc-oct-22)",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Dave Burraston _ NYZ,2022,eoy
1,2,"Elika Ostrov - Fort Evil Fruit

            —
            Confessions Of An Imposter (https://fortevilfruit.bandcamp.com/album/confessions-of-an-imposter)",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Dave Burraston _ NYZ,2022,eoy
2,3,"Susan Geaney - Fort Evil Fruit

            —
            Tape Melt (https://fortevilfruit.bandcamp.com/album/tape-melt)",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Dave Burraston _ NYZ,2022,eoy
3,4,"Dinosawroid-mane - Fort Evil Fruit

            —
            Ditch Bend (https://fortevilfruit.bandcamp.com/album/ditch-bend)",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Dave Burraston _ NYZ,2022,eoy
4,5,"Jane Deasy - Fort Evil Fruit

            —
            Mouth of the Sound (https://fortevilfruit.bandcamp.com/album/mouth-of-the-sound)",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Dave Burraston _ NYZ,2022,eoy
5,6,"Teresa Winter

              —
              Drowning By Numbers
            
              (The Death Of Rave)","Teresa Winter heralds the coming of spring and the start of new cycles with a divine reflection on pagan and Christian rites set to her most elusive, quizzical arrangements - RIYL the films of Peter Greenaway, Cosey, Michelle Bokanowski, Delia Derbyshire, Cucina Povera.

Also marking the threshold of The Death of Rave’s 10th or “tin” anniversary year... more",/products/drowning-by-numbers-a747114a-1082-4a95-a328-407dbbd8432b,https://assets.boomkat.com/spree/products/789072/product/RAVE037_distribution_preview.jpg,Dave Burraston _ NYZ,2022,eoy
6,7,"Milieu - Milieu Music

            —
            Creation (https://milieumusic.bandcamp.com/album/creation)",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Dave Burraston _ NYZ,2022,eoy
7,8,"Clinton Green/Ian Andrews - tsss tapes

            —
            False Currency (https://tssstapes.bandcamp.com/album/false-currency)",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Dave Burraston _ NYZ,2022,eoy
8,9,"SDEM - MEDS

            —
            WORKTAPES (https://m3ds.bandcamp.com/album/worktapes)",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Dave Burraston _ NYZ,2022,eoy
9,10,"NYZ / LSZ - [Benefit album for Ukrainian Humanitarian Fund] - Psøma Psi Phi

            —
            Dürer / Sunflowers (https://pspsph.bandcamp.com/album/d-rer-sunflowers)",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Dave Burraston _ NYZ,2022,eoy
