,rank,title,description,boomkat_url,img_url,curator,year,type
0,1,"Aqueduct Ensemble

              —
              Improvisations on an Apricot
            
              (Last Resort)","Improvisations on an Apricot is a lovely, dawning suite of jazz improvisations striving to emulate the sound of ’70s/‘80s ECM records.

It’s the first transmission from Aqueduct Ensemble, comprising Kit Freund - who is half of the Lejsovka & Freund duo for MIE Music, and also part of Trouble Books - and his neighbour, Stu; a piano tuner and professional pianist... more",/products/improvisations-on-an-apricot,https://assets.boomkat.com/spree/products/490885/product/5050580685031.jpg,Matt Werth _ RVNG Intl.,2018,eoy
1,2,"Embassador Dulgoon

            —
            Hydrorion Remnants",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Matt Werth _ RVNG Intl.,2018,eoy
2,3,"Julia Holter

              —
              Aviary
            
              (Domino Recording Co)","After a series of increasingly inward-looking, conservative LPs since her stunning debut, Julia Holter finally unleashes her imagination in technicolour once again on ‘Aviary’, an expansive observation of the ratchet madness that makes up the world today.

“Aviary is an epic journey through what Julia Holter describes as “the cacophony of the mind in a melting... more",/products/aviary-eb9dd2cb-b5a2-4b76-afc8-785a078641ae,https://assets.boomkat.com/spree/products/541470/product/887828041763_T16_Image.jpg,Matt Werth _ RVNG Intl.,2018,eoy
3,4,"Kilchhofer

              —
              The Book Room
            
              (Marionette)","After turns by Burnt Friedman and Max Loderbauer, Marionette return attention to Benjamin Kilchhofer’s lilting drum patterns and bittersweet electronics on The Book Room, his broadest and most significant release to date. Followers of Burnt Friedman’s rhythmelodic arrangements, the ersatz ethno vibes of Don’t DJ or Shackleton’s hypnotic patterning will... more",/products/the-book-room,https://assets.boomkat.com/spree/products/491553/product/4050486130193.jpg,Matt Werth _ RVNG Intl.,2018,eoy
4,5,"Hiro Kone

              —
              Pure Expenditure
            
              (Dais Records)","Highly touted producer Hiro Kone follows her Drew McDowell link-up with a crackshot 2nd solo LP of jagged, physical rhythms and kinetic synth structures rent in acres of noumenal space on ‘Pure Expenditure’

Working intently at the point where EBM and avant-garde electronics collide, Nicky Mao a.k.a. Hiro Kone has opened up a vivid new space for... more",/products/pure-expenditure,https://assets.boomkat.com/spree/products/527714/product/0192562716182.jpg,Matt Werth _ RVNG Intl.,2018,eoy
5,6,"Kiki Kudo

              —
              Splashing
            
              (Incienso)","NYC’s Kiki Kudo inhabits breezy, simulated dancefloor/headspace in the ‘Splashing EP’ for Anthony Naples and Jenny Slattery’s Incienso label

Like Dj Python, Beta Librae and People Plus before her, newcomer Kiki Kudo’s expressively off-centre, uniquely piquant productions  charmingly follow their own path thru parallel club dimensions. 

Also echoing... more",/products/splashing,https://assets.boomkat.com/spree/products/541905/product/0810762035628.jpg,Matt Werth _ RVNG Intl.,2018,eoy
6,7,"Josiah Steinbrick

            —
            Meeting Of Waters (Banana Editions)",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Matt Werth _ RVNG Intl.,2018,eoy
7,8,"Tristan Arp

              —
              Plexi
            
              (Human Pitch)",,/products/plexi-d102096e-e551-4e8a-ae03-a879145366c5,https://assets.boomkat.com/spree/products/538705/product/0810762035734.jpg,Matt Werth _ RVNG Intl.,2018,eoy
8,9,"Tristan Arp

              —
              Pipeline
            
              (Human Pitch)",,/products/pipeline-0d2f123f-d767-4253-96c3-97fb25055fe1,https://assets.boomkat.com/spree/products/492614/product/0810762032252.jpg,Matt Werth _ RVNG Intl.,2018,eoy
9,10,"Tsembla

            —
            A Hole in the Landscape",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Matt Werth _ RVNG Intl.,2018,eoy
10,11,"Leslie Winer & Jay Glass Dubs

              —
              YMFEES
            
              (Bokeh Versions)","Amazing record! Avant-pop enigma Leslie Winer slinks the plasmic, recursive matrices of Jay Glass Dubs in a brilliant but unexpected marriage of husky trip hop and psyched-out dub styles on Your Mom’s Favourite Eazy-E Song for Bristol’s excellent Bokeh Versions. 

Finding common, scorched ground between Jay’s gutted structures and Leslie’s abyssal... more",/products/ymfees,https://assets.boomkat.com/spree/products/467687/product/5050580685062.jpg,Matt Werth _ RVNG Intl.,2018,eoy
11,12,"Ambienti Coassiali

              —
              Vol. 1 - Room 1-6
            
              (Incidental Music)","Reissued on vinyl for the 1st time, Ambienti Coassiali’s soothing synths reveal a lush other side to cult Italian drone/noise pairing Pazuzu and Soda Caustica, a.k.a. Capricorni Pneumatici 

Using a Yamaha DX7 and two Revox A77 tape recorders, Ambienti Coassiali coax out a hypnagogic suite in six parts, originally intended as the first of future volumes, but... more",/products/vol-1-room-1-6-243dd331-66d3-4d3b-b832-e0edfb4f414e,https://assets.boomkat.com/spree/products/492328/product/R-11453370-1516583326-1635.jpeg.jpg,Matt Werth _ RVNG Intl.,2018,eoy
12,13,"Ingus Baušķenieks

              —
              Spoki
            
              (STROOM)","Stroom reach inside the head of Ingus Baušķenieks to reveal a private world of Latvian reggae, shimmering Baltiearic beats, synthpop and ambient audities on their latest charm of a compilation...

Recorded between 1988 - 2011, Baušķenieks’ ‘Spoki’ treads a path as unique as any of the artists on Stroom before him, offering a sound that’s simultaneously familiar yet... more",/products/ingus-bauskenieks,https://assets.boomkat.com/spree/products/516398/product/a0462489340_10.jpg,Matt Werth _ RVNG Intl.,2018,eoy
13,14,"Noah Creshevsky

            —
            Reanimator",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Matt Werth _ RVNG Intl.,2018,eoy
14,15,"Simone Forti

            —
            Al Di Là",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Matt Werth _ RVNG Intl.,2018,eoy
15,16,"Ned Lagin

            —
            Seastones",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Matt Werth _ RVNG Intl.,2018,eoy
16,17,"Lorad Group

              —
              Sul Tempo
            
              (Lily Record)","The first and only album composed by Lorad group; a collection of Jazz-feathered but minimalist rhythmelodic workouts recorded in Rome, 1988.

Sul Tempo was originally released on CD and now its gamelan-esque and loungey themes finally arrive on vinyl, including some real pearls of Library-style industrial-electro-boogie along with chiming... more",/products/sul-tempo,https://assets.boomkat.com/spree/products/492340/product/dbb81c0f-5ffe-4eb6-9800-f07a70e57371.jpg,Matt Werth _ RVNG Intl.,2018,eoy
17,18,"Suzanne Menzel

            —
            Goodbyes and Beginnings",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Matt Werth _ RVNG Intl.,2018,eoy
18,19,"Happy Rhodes

              —
              Ectotrophia
            
              (Numero Group)","The first authoritative compilation of American dream pop artist Happy Rhodes, whose singular songwriting and four-octave vocal range emanated from the pastoral confines of upstate New York in the 1980s. 

""Her melding of classical music influences with synthesizer and acoustic guitar, and her enchanting and idiosyncratic singing, are favorably compared... more",/products/ectotrophia,https://assets.boomkat.com/spree/products/507760/product/825764119931_T41452687550054.jpg,Matt Werth _ RVNG Intl.,2018,eoy
19,20,"Warren Sampson

            —
            Traveller",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Matt Werth _ RVNG Intl.,2018,eoy
20,21,"Shiho Yabuki

            —
            The Body Is A Message Of The Universe",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Matt Werth _ RVNG Intl.,2018,eoy
